Epoch  54 | avg_return = 0.28 | loss: val = 3.15, pol = 2.00 | time = 12.24 | emb_accuracy = 0.76
Epoch  55 | avg_return = 0.27 | loss: val = 3.02, pol = -0.72 | time = 11.99 | emb_accuracy = 0.71
Epoch  56 | avg_return = 0.27 | loss: val = 3.01, pol = 0.16 | time = 12.04 | emb_accuracy = 0.77
Epoch  57 | avg_return = 0.28 | loss: val = 3.02, pol = -0.19 | time = 12.04 | emb_accuracy = 0.75
Epoch  58 | avg_return = 0.31 | loss: val = 3.26, pol = 0.93 | time = 12.53 | emb_accuracy = 0.81
Epoch  59 | avg_return = 0.27 | loss: val = 3.08, pol = -1.21 | time = 12.16 | emb_accuracy = 0.83
Epoch  60 | avg_return = 0.31 | loss: val = 3.24, pol = 1.35 | time = 12.58 | emb_accuracy = 0.67
Epoch  61 | avg_return = 0.28 | loss: val = 3.05, pol = 0.10 | time = 12.19 | emb_accuracy = 0.82
Epoch  62 | avg_return = 0.30 | loss: val = 3.19, pol = 0.80 | time = 12.19 | emb_accuracy = 0.79
Epoch  63 | avg_return = 0.25 | loss: val = 2.87, pol = -0.96 | time = 12.10 | emb_accuracy = 0.83
Epoch  64 | avg_return = 0.27 | loss: val = 3.04, pol = 0.01 | time = 12.11 | emb_accuracy = 0.75
Epoch  65 | avg_return = 0.30 | loss: val = 3.19, pol = 0.77 | time = 11.96 | emb_accuracy = 0.77
Epoch  66 | avg_return = 0.30 | loss: val = 3.14, pol = 0.42 | time = 12.04 | emb_accuracy = 0.80
Epoch  67 | avg_return = 0.31 | loss: val = 3.38, pol = -1.44 | time = 12.07 | emb_accuracy = 0.87
Epoch  68 | avg_return = 0.27 | loss: val = 2.87, pol = -0.90 | time = 12.11 | emb_accuracy = 0.77
Epoch  69 | avg_return = 0.27 | loss: val = 2.97, pol = -2.73 | time = 12.07 | emb_accuracy = 0.84
Epoch  70 | avg_return = 0.27 | loss: val = 3.05, pol = 1.74 | time = 12.04 | emb_accuracy = 0.70
Epoch  71 | avg_return = 0.27 | loss: val = 2.99, pol = -1.79 | time = 12.27 | emb_accuracy = 0.76
Epoch  72 | avg_return = 0.28 | loss: val = 3.14, pol = 1.70 | time = 12.10 | emb_accuracy = 0.71
Epoch  73 | avg_return = 0.27 | loss: val = 3.01, pol = -0.84 | time = 12.14 | emb_accuracy = 0.74
Epoch  74 | avg_return = 0.30 | loss: val = 3.30, pol = -1.51 | time = 12.14 | emb_accuracy = 0.85
Epoch  75 | avg_return = 0.31 | loss: val = 3.28, pol = -1.30 | time = 12.05 | emb_accuracy = 0.76
Epoch  76 | avg_return = 0.30 | loss: val = 3.15, pol = 1.58 | time = 12.12 | emb_accuracy = 0.84
Epoch  77 | avg_return = 0.28 | loss: val = 3.05, pol = 0.90 | time = 12.10 | emb_accuracy = 0.78
Epoch  78 | avg_return = 0.32 | loss: val = 3.21, pol = -1.41 | time = 12.07 | emb_accuracy = 0.86
Epoch  79 | avg_return = 0.30 | loss: val = 3.10, pol = 1.30 | time = 12.22 | emb_accuracy = 0.79
Epoch  80 | avg_return = 0.26 | loss: val = 2.98, pol = -2.35 | time = 12.15 | emb_accuracy = 0.80
Epoch  81 | avg_return = 0.28 | loss: val = 2.89, pol = -1.81 | time = 12.04 | emb_accuracy = 0.80
Epoch  82 | avg_return = 0.29 | loss: val = 3.18, pol = 1.26 | time = 12.21 | emb_accuracy = 0.68
Epoch  83 | avg_return = 0.28 | loss: val = 3.06, pol = -0.82 | time = 12.10 | emb_accuracy = 0.77
Epoch  84 | avg_return = 0.28 | loss: val = 2.99, pol = -1.54 | time = 12.17 | emb_accuracy = 0.83
Epoch  85 | avg_return = 0.29 | loss: val = 3.12, pol = 2.05 | time = 12.13 | emb_accuracy = 0.86
Epoch  86 | avg_return = 0.27 | loss: val = 3.02, pol = -1.73 | time = 12.32 | emb_accuracy = 0.83
Epoch  87 | avg_return = 0.32 | loss: val = 3.24, pol = 0.40 | time = 12.22 | emb_accuracy = 0.79
Epoch  88 | avg_return = 0.28 | loss: val = 2.96, pol = -1.24 | time = 12.20 | emb_accuracy = 0.79
Epoch  89 | avg_return = 0.32 | loss: val = 3.31, pol = 1.28 | time = 12.10 | emb_accuracy = 0.84
Epoch  90 | avg_return = 0.30 | loss: val = 3.21, pol = -1.88 | time = 12.17 | emb_accuracy = 0.86
Epoch  91 | avg_return = 0.35 | loss: val = 3.32, pol = -0.36 | time = 12.46 | emb_accuracy = 0.84
Epoch  92 | avg_return = 0.29 | loss: val = 3.21, pol = -2.67 | time = 12.14 | emb_accuracy = 0.78
Epoch  93 | avg_return = 0.35 | loss: val = 3.40, pol = -0.03 | time = 12.20 | emb_accuracy = 0.79
Epoch  94 | avg_return = 0.26 | loss: val = 3.24, pol = -4.26 | time = 12.15 | emb_accuracy = 0.80
Epoch  95 | avg_return = 0.31 | loss: val = 3.21, pol = -0.20 | time = 12.14 | emb_accuracy = 0.85
Epoch  96 | avg_return = 0.35 | loss: val = 3.39, pol = -0.53 | time = 12.10 | emb_accuracy = 0.86
Epoch  97 | avg_return = 0.24 | loss: val = 2.92, pol = -3.46 | time = 12.18 | emb_accuracy = 0.77
Epoch  98 | avg_return = 0.34 | loss: val = 3.58, pol = 2.90 | time = 12.14 | emb_accuracy = 0.86
Epoch  99 | avg_return = 0.28 | loss: val = 3.04, pol = -2.53 | time = 12.13 | emb_accuracy = 0.85
Epoch 100 | avg_return = 0.34 | loss: val = 3.41, pol = 2.02 | time = 12.12 | emb_accuracy = 0.86
Epoch 101 | avg_return = 0.32 | loss: val = 3.10, pol = -1.07 | time = 12.20 | emb_accuracy = 0.85
Epoch 102 | avg_return = 0.30 | loss: val = 2.99, pol = -2.15 | time = 12.11 | emb_accuracy = 0.85
Epoch 103 | avg_return = 0.28 | loss: val = 3.17, pol = -4.33 | time = 12.21 | emb_accuracy = 0.86
Epoch 104 | avg_return = 0.33 | loss: val = 3.25, pol = 1.71 | time = 12.06 | emb_accuracy = 0.87
Epoch 105 | avg_return = 0.31 | loss: val = 3.23, pol = -1.78 | time = 12.13 | emb_accuracy = 0.84
Epoch 106 | avg_return = 0.31 | loss: val = 3.21, pol = -2.26 | time = 11.99 | emb_accuracy = 0.86
Epoch 107 | avg_return = 0.30 | loss: val = 3.09, pol = 0.79 | time = 12.12 | emb_accuracy = 0.87
Epoch 108 | avg_return = 0.31 | loss: val = 3.10, pol = 0.83 | time = 12.13 | emb_accuracy = 0.78
Epoch 109 | avg_return = 0.30 | loss: val = 3.20, pol = -0.78 | time = 12.77 | emb_accuracy = 0.84
Epoch 110 | avg_return = 0.32 | loss: val = 3.31, pol = -3.05 | time = 12.45 | emb_accuracy = 0.91
Epoch 111 | avg_return = 0.35 | loss: val = 3.46, pol = -2.55 | time = 12.16 | emb_accuracy = 0.87
Epoch 112 | avg_return = 0.32 | loss: val = 3.20, pol = -1.65 | time = 11.99 | emb_accuracy = 0.89
Epoch 113 | avg_return = 0.29 | loss: val = 3.17, pol = 1.32 | time = 12.01 | emb_accuracy = 0.82
Epoch 114 | avg_return = 0.31 | loss: val = 3.10, pol = -1.50 | time = 12.43 | emb_accuracy = 0.82
Epoch 115 | avg_return = 0.33 | loss: val = 3.14, pol = 2.02 | time = 11.99 | emb_accuracy = 0.86
Epoch 116 | avg_return = 0.34 | loss: val = 3.14, pol = -1.71 | time = 12.60 | emb_accuracy = 0.92
Epoch 117 | avg_return = 0.30 | loss: val = 3.21, pol = -2.92 | time = 12.48 | emb_accuracy = 0.83
Epoch 118 | avg_return = 0.34 | loss: val = 3.34, pol = -1.56 | time = 12.35 | emb_accuracy = 0.83
Epoch 119 | avg_return = 0.36 | loss: val = 3.30, pol = -0.62 | time = 12.24 | emb_accuracy = 0.87
Epoch 120 | avg_return = 0.32 | loss: val = 3.19, pol = -2.26 | time = 12.23 | emb_accuracy = 0.88
Epoch 121 | avg_return = 0.38 | loss: val = 3.38, pol = -1.93 | time = 12.16 | emb_accuracy = 0.80
Epoch 122 | avg_return = 0.31 | loss: val = 2.84, pol = 0.12 | time = 12.50 | emb_accuracy = 0.83
Epoch 123 | avg_return = 0.29 | loss: val = 2.93, pol = -1.32 | time = 12.47 | emb_accuracy = 0.87
Epoch 124 | avg_return = 0.29 | loss: val = 3.03, pol = -0.98 | time = 12.14 | emb_accuracy = 0.77
Epoch 125 | avg_return = 0.31 | loss: val = 2.94, pol = 0.34 | time = 12.11 | emb_accuracy = 0.87
Epoch 126 | avg_return = 0.27 | loss: val = 2.78, pol = 0.43 | time = 12.18 | emb_accuracy = 0.81
Epoch 127 | avg_return = 0.38 | loss: val = 3.39, pol = -2.33 | time = 12.04 | emb_accuracy = 0.85
Epoch 128 | avg_return = 0.28 | loss: val = 2.81, pol = 0.75 | time = 12.14 | emb_accuracy = 0.85
Epoch 129 | avg_return = 0.35 | loss: val = 3.42, pol = -2.90 | time = 12.03 | emb_accuracy = 0.86
